id_product,order_date,product_quantity,product_price,entry_date
401,2021-01-23,1.0,541.487603,2018-12-04
416,2020-04-02,1.0,131.181818,2018-12-04
717,2019-03-10,1.0,2035.4885,2018-12-04
778,2019-12-27,1.0,335.988,2018-12-04
826,2020-02-19,1.0,342.292302,2018-12-04
916,2020-01-11,1.0,803.988,2018-12-04
946,2019-08-09,1.0,597.9885,2018-12-04
976,2020-01-05,1.0,557.988,2018-12-04
977,2020-01-05,1.0,407.988,2018-12-04
980,2020-01-05,1.0,531.2862,2018-12-04
981,2020-01-05,1.0,197.988,2018-12-04
986,2019-12-09,1.0,239.988,2018-12-04
988,2020-07-10,1.0,369.5868,2018-12-04
995,2020-02-23,1.0,587.3868,2018-12-04
1031,2018-11-18,1.0,234.99,2018-12-04
1031,2018-12-16,1.0,234.99,2018-12-04
1042,2019-02-28,1.0,379.48735,2018-12-04
1086,2020-05-01,1.0,1404.13482,2018-12-04
1111,2019-08-31,1.0,431.2385,2018-12-04
1320,2019-03-14,1.0,346.568181,2018-12-04
1333,2020-02-08,1.0,431.900826,2018-12-04
1373,2020-03-05,2.0,464.809091,2018-12-04
1390,2020-09-28,1.0,227.988,2018-12-04
1409,2020-01-12,1.0,509.988,2018-12-04
1410,2020-01-12,1.0,227.988,2018-12-04
1410,2020-11-29,1.0,227.988,2018-12-04
1412,2020-01-31,1.0,239.988,2018-12-04
1413,2020-01-12,1.0,125.988,2018-12-04
1417,2020-01-12,1.0,1103.988,2018-12-04
1550,2019-02-12,1.0,2052.7385,2018-12-04
1557,2020-07-05,1.0,811.7868,2018-12-04
1643,2019-09-16,1.0,632.4885,2018-12-04
1653,2020-09-10,1.0,517.4862,2018-12-04
1851,2020-01-16,1.0,710.6862,2018-12-04
1945,2019-11-21,1.0,1676.6862,2018-12-04
1949,2020-06-22,1.0,1570.7868,2018-12-04
2036,2019-11-06,1.0,324.2862,2018-12-04
2049,2019-08-26,1.0,227.68735,2018-12-04
2051,2020-10-04,1.0,329.0,2018-12-04
2051,2020-10-21,1.0,329.0,2018-12-04
2065,2018-11-17,1.0,194.99,2018-12-04
2065,2019-06-20,1.0,246.66235,2018-12-04
2072,2019-06-07,2.0,189.73735,2018-12-04
2072,2019-07-03,1.0,189.73735,2018-12-04
2072,2019-11-03,1.0,227.68482000000003,2018-12-04
2072,2019-12-27,1.0,227.68482000000003,2018-12-04
2072,2020-02-26,1.0,250.453302,2018-12-04
2080,2019-08-01,1.0,265.63735,2018-12-04
2086,2019-08-02,1.0,75.88735,2018-12-04
2091,2019-08-02,1.0,278.28735,2018-12-04
2271,2020-08-26,1.0,772.2,2018-12-04
2417,2020-02-27,6.0,98.9868,2018-12-04
2456,2020-11-08,1.0,538.1862,2018-12-04
2456,2020-11-15,1.0,538.1862,2018-12-04
2502,2019-03-24,1.0,101.18735,2018-12-04
2503,2019-06-28,1.0,101.18735,2018-12-04
2760,2020-02-11,1.0,521.988,2018-12-04
2925,2019-11-06,1.0,383.988,2018-12-04
2948,2020-01-27,1.0,356.71482000000003,2018-12-04
2974,2020-05-26,1.0,1024.63482,2018-12-04
2975,2020-05-26,1.0,728.62482,2018-12-04
2976,2020-05-26,1.0,872.8348199999999,2018-12-04
2997,2020-11-23,1.0,318.76482000000004,2018-12-04
3022,2020-05-19,1.0,218.730001,2018-12-04
3028,2019-08-31,1.0,189.73735,2018-12-04
3028,2020-10-02,1.0,227.68482000000003,2018-12-04
3069,2019-07-19,1.0,221.36235,2018-12-04
3106,2020-11-28,1.0,497.988,2018-12-04
3109,2019-05-26,1.0,221.36235,2018-12-04
3110,2019-10-21,1.0,209.988,2018-12-04
3661,2020-05-16,1.0,538.87482,2018-12-04
3661,2020-05-18,1.0,538.87482,2018-12-04
3664,2020-09-24,1.0,457.2,2018-12-04
3665,2019-11-25,8.0,427.7862,2018-12-04
3665,2019-12-21,1.0,427.7862,2018-12-04
3665,2020-01-31,1.0,427.7862,2018-12-04
3665,2020-05-25,1.0,470.56482,2018-12-04
3665,2020-08-27,1.0,470.56482,2018-12-04
3665,2020-10-12,1.0,427.7862,2018-12-04
3668,2019-06-28,1.0,221.36235,2018-12-04
3669,2019-12-11,1.0,227.988,2018-12-04
3669,2020-10-18,1.0,227.988,2018-12-04
3669,2020-11-18,2.0,227.988,2018-12-04
3670,2019-06-20,1.0,189.73735,2018-12-04
3670,2020-01-31,1.0,222.31405,2018-12-04
3670,2020-03-10,1.0,244.545455,2018-12-04
3670,2020-05-01,2.0,244.545455,2018-12-04
3670,2020-10-12,1.0,222.31405,2018-12-04
3670,2020-11-01,1.0,222.31405,2018-12-04
3670,2021-01-17,1.0,222.31405,2018-12-04
3671,2019-07-22,1.0,189.73735,2018-12-04
3671,2019-09-01,1.0,189.73735,2018-12-04
3671,2019-09-19,3.0,189.73735,2018-12-04
3671,2019-11-12,3.0,227.68482000000003,2018-12-04
3671,2019-11-17,1.0,227.68482000000003,2018-12-04
3671,2020-01-28,1.0,222.31405,2018-12-04
3671,2020-02-06,1.0,222.31405,2018-12-04
3671,2020-02-06,3.0,222.31405,2018-12-04
3671,2020-03-02,2.0,244.545455,2018-12-04
3671,2020-03-07,1.0,244.545455,2018-12-04
3671,2020-03-21,1.0,244.545455,2018-12-04
3671,2020-05-15,1.0,244.545455,2018-12-04
3671,2020-05-16,2.0,244.545455,2018-12-04
3671,2020-06-08,1.0,244.545455,2018-12-04
3671,2020-09-22,1.0,222.31405,2018-12-04
3671,2020-10-04,1.0,222.31405,2018-12-04
3671,2020-11-04,1.0,222.31405,2018-12-04
3671,2020-11-10,1.0,222.31405,2018-12-04
3671,2020-11-23,1.0,222.31405,2018-12-04
3671,2020-11-29,1.0,222.31405,2018-12-04
3671,2020-11-30,1.0,222.31405,2018-12-04
3672,2019-09-15,2.0,373.7385,2018-12-04
3672,2020-02-22,1.0,477.272728,2018-12-04
3672,2020-02-24,1.0,477.272728,2018-12-04
3672,2020-11-17,1.0,433.88429800000006,2018-12-04
3672,2020-11-28,1.0,433.88429800000006,2018-12-04
3674,2019-06-17,1.0,528.9885,2018-12-04
